duration,date,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,comments
134,4/27/20 18:13,R_1hR1R7tTG4mhmI0,,,,,,,,0,19,20,0,1,0,3,no
92,4/27/20 18:15,R_1LnklIvuxmclOHa,1000,800,5000,2000,1,1,2,,,,,,,,yes
218,4/27/20 18:17,R_1EXJULPkS54ArEr,0,19,20,0,1,0,3,,,,,,,,No
156,4/27/20 18:17,R_2VyaiCT5NfBCiy6,,,,,,,,0,19,20,0,1,0,3,No
158,4/27/20 18:18,R_31BG2EVcGwi1kro,,,,,,,,0,0,20,0,1,0,3,No.
167,4/27/20 18:21,R_2xM38atDDJr4413,,,,,,,,0,19,20,0,1,0,3,No
161,4/27/20 18:21,R_9Xi3hMtinp3KImd,5,20,20,19,1,1,1,,,,,,,,no
265,4/27/20 18:21,R_d05HZI7GoSrQQdH,0,19,20,1,1,0,2,,,,,,,,"No, thank you"
351,4/27/20 18:22,R_PZgtSTZ8905NKvL,0,19,20,0,0,0,3,,,,,,,,nothing
155,4/27/20 18:23,R_3yroQM6k9GcD0Nb,,,,,,,,0,19,20,0,1,0,3,No.
280,4/27/20 18:23,R_C8olGXrsMnVoltD,,,,,,,,0,19,20,0,0,0,3,Is john one of the 20
149,4/27/20 18:24,R_2ZJRNnHw55SOwjg,0,19,20,0,1,0,3,,,,,,,,no
325,4/27/20 18:26,R_pRhK7FJL0NW2XiV,0,19,20,0,0,0,3,,,,,,,,"the questions are vague, can you be more specific next time?"
176,4/27/20 18:27,R_0JV4PBDvg69wEPD,,,,,,,,0,19,20,0,1,0,3,no
197,4/27/20 18:27,R_AoYPRBgS8vcZux3,,,,,,,,0,19,20,0,1,0,3,No
123,4/27/20 18:28,R_12z2xNBMmJnJNLx,,,,,,,,0,19,20,0,1,0,3,no
225,4/27/20 18:28,R_wLVTxQNW1PHvpmx,0,19,20,0,0,0,3,,,,,,,,no. it seems pretty self explanatory. 
201,4/27/20 18:29,R_T7NOXCbpyIrg5Md,0,19,20,0,1,0,3,,,,,,,,Not that I could tell! Thanks for the opportunity!
296,4/27/20 18:32,R_3qg9kFvJ00nYiPX,0,19,20,0,0,0,3,,,,,,,,good
603,4/27/20 18:35,R_3qJ8kIOlnDz2Et0,,,,,,,,19,19,20,0,0,0,3,
136,4/27/20 18:36,R_3nxvzWY5lvyBlHl,,,,,,,,19,19,20,0,1,0,3,no
233,4/27/20 18:36,R_Q0PN8PcYPCS5Fvj,19,19,20,0,1,0,3,,,,,,,,No
134,4/27/20 18:36,R_22XkjqlDehP2Aq0,0,19,20,0,0,0,3,,,,,,,,no
206,4/27/20 18:39,R_1M3xpoSKDtgK2OW,,,,,,,,0,19,20,0,1,0,3,
182,4/27/20 18:41,R_AEYLA3dd5WcGGbL,,,,,,,,19,19,20,0,1,0,3,No
262,4/27/20 18:41,R_1GwUvBFyvNrttP9,0,19,20,0,1,0,3,,,,,,,,No
254,4/27/20 18:42,R_s4L3iEL0cVSikTv,0,19,20,0,0,0,3,,,,,,,,no
165,4/27/20 18:45,R_V2xhuBjJl1H6fxn,0,19,20,0,1,0,3,,,,,,,,No
148,4/27/20 18:46,R_3MiLSD0992kXimu,,,,,,,,0,19,20,0,1,0,3,no
687,4/27/20 18:49,R_295mkTTnIEKZ2fd,,,,,,,,20,10,20,19,1,1,1,nothing
207,4/27/20 18:50,R_1jV1VzKmRHjwlrf,,,,,,,,19,19,1,14,1,1,1,not confusing very clear
194,4/27/20 18:54,R_XZpgtwpoD7t6z9T,0,19,20,0,0,0,3,,,,,,,,no
153,4/27/20 18:56,R_Zyj8pHA9DZLayrv,,,,,,,,5,20,20,0,1,0,3,no
301,4/27/20 18:56,R_2zAf8JPkcyVdCPz,,,,,,,,0,19,20,0,1,0,3,no
156,4/27/20 18:56,R_3rU74G5sRMFs9xJ,19,19,20,0,0,0,3,,,,,,,,The last question on the first page about how many people want to catch more fish
671,4/27/20 18:57,R_6VRTD8KRIGiGJI5,,,,,,,,19,19,19,19,1,1,2,nothing
757,4/27/20 18:58,R_2bN5k9c2tHlXBvI,0,19,20,0,1,0,3,,,,,,,,No I don't think so.
134,4/27/20 18:58,R_da4Twkc8atjiq6l,,,,,,,,0,19,20,0,1,0,3,no
